Liczba miast: 	48	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	5	 Czas pomiaru: 	200000	 Generacja: 	433242	 Najlepszy wynik: 	23298
Liczba miast: 	48	 Wielkosc populacji: 	100	 Wielkosc turnieju: 	5	 Szansa mutacji: 	1	 Czas pomiaru: 	1000.12	 Generacja: 	839	 Najlepszy wynik: 	27419
Liczba miast: 	48	 Wielkosc populacji: 	100	 Wielkosc turnieju: 	5	 Szansa mutacji: 	1	 Czas pomiaru: 	5000.01	 Generacja: 	4209	 Najlepszy wynik: 	23207
Liczba miast: 	48	 Wielkosc populacji: 	100	 Wielkosc turnieju: 	5	 Szansa mutacji: 	1	 Czas pomiaru: 	10000.2	 Generacja: 	8429	 Najlepszy wynik: 	22985
Liczba miast: 	48	 Wielkosc populacji: 	100	 Wielkosc turnieju: 	5	 Szansa mutacji: 	1	 Czas pomiaru: 	30000	 Generacja: 	25225	 Najlepszy wynik: 	22063
Liczba miast: 	48	 Wielkosc populacji: 	100	 Wielkosc turnieju: 	5	 Szansa mutacji: 	1	 Czas pomiaru: 	100001	 Generacja: 	83980	 Najlepszy wynik: 	22063
Liczba miast: 	48	 Wielkosc populacji: 	100	 Wielkosc turnieju: 	5	 Szansa mutacji: 	1	 Czas pomiaru: 	200001	 Generacja: 	167682	 Najlepszy wynik: 	19758
Liczba miast: 	48	 Wielkosc populacji: 	100	 Wielkosc turnieju: 	5	 Szansa mutacji: 	5	 Czas pomiaru: 	1000.79	 Generacja: 	849	 Najlepszy wynik: 	25166
Liczba miast: 	48	 Wielkosc populacji: 	100	 Wielkosc turnieju: 	5	 Szansa mutacji: 	5	 Czas pomiaru: 	5000.37	 Generacja: 	4217	 Najlepszy wynik: 	20643
Liczba miast: 	48	 Wielkosc populacji: 	100	 Wielkosc turnieju: 	5	 Szansa mutacji: 	5	 Czas pomiaru: 	10000.4	 Generacja: 	8426	 Najlepszy wynik: 	20643
Liczba miast: 	48	 Wielkosc populacji: 	100	 Wielkosc turnieju: 	5	 Szansa mutacji: 	5	 Czas pomiaru: 	30000.8	 Generacja: 	25265	 Najlepszy wynik: 	20643
Liczba miast: 	48	 Wielkosc populacji: 	100	 Wielkosc turnieju: 	5	 Szansa mutacji: 	5	 Czas pomiaru: 	100000	 Generacja: 	83788	 Najlepszy wynik: 	20643
Liczba miast: 	48	 Wielkosc populacji: 	100	 Wielkosc turnieju: 	5	 Szansa mutacji: 	5	 Czas pomiaru: 	200000	 Generacja: 	167531	 Najlepszy wynik: 	20263
													
													
													
													
													
													
Liczba miast: 	76	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	1	 Czas pomiaru: 	1000.06	 Generacja: 	7281	 Najlepszy wynik: 	170701
Liczba miast: 	76	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	1	 Czas pomiaru: 	5000.06	 Generacja: 	36753	 Najlepszy wynik: 	160865
Liczba miast: 	76	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	1	 Czas pomiaru: 	10000.3	 Generacja: 	75145	 Najlepszy wynik: 	158153
Liczba miast: 	76	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	1	 Czas pomiaru: 	30000.1	 Generacja: 	230415	 Najlepszy wynik: 	153269
Liczba miast: 	76	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	1	 Czas pomiaru: 	100000	 Generacja: 	792906	 Najlepszy wynik: 	153269
Liczba miast: 	76	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	1	 Czas pomiaru: 	200000	 Generacja: 	1581881	 Najlepszy wynik: 	149570
Liczba miast: 	76	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	5	 Czas pomiaru: 	1000.02	 Generacja: 	7556	 Najlepszy wynik: 	170246
Liczba miast: 	76	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	5	 Czas pomiaru: 	5000.05	 Generacja: 	39177	 Najlepszy wynik: 	170246
Liczba miast: 	76	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	5	 Czas pomiaru: 	10000.1	 Generacja: 	77354	 Najlepszy wynik: 	169199
